,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
77,2015,10,8,SK,3,1,0,0,7.00,4.00,0.67,1.75,0.257,0.336,0.376,0.712,1.41,0.300,69.1,4.33,0.62,4.47,4.52,0.38
78,2015,10,9,·Ôµ¥,3,0,0,0,5.40,2.52,1.44,2.14,0.314,0.369,0.490,0.860,1.56,0.337,65.0,6.48,0.24,5.46,5.57,0.09
79,2015,10,10,KIA,5,0,0,0,5.20,6.40,0.60,0.81,0.310,0.429,0.423,0.852,1.87,0.340,71.4,5.20,0.60,5.86,6.25,0.06
80,2016,4,1,µÎ»ê,24,16,0,0,7.83,3.08,0.54,2.54,0.258,0.326,0.364,0.690,1.32,0.318,76.0,3.21,8.75,4.01,3.85,6.02
81,2016,4,2,SK,25,16,0,0,6.90,3.33,1.00,2.07,0.237,0.318,0.362,0.680,1.23,0.269,77.3,3.49,8.18,5.04,5.03,3.26
82,2016,4,3,NC,23,11,0,0,8.42,2.85,0.76,2.95,0.243,0.321,0.363,0.684,1.23,0.301,70.7,3.83,6.23,4.31,4.10,4.96
83,2016,4,4,LG,22,7,1,1,7.25,3.67,0.68,1.98,0.290,0.364,0.410,0.773,1.53,0.346,65.4,5.03,4.18,4.46,4.39,4.08
84,2016,4,5,KT,25,6,0,0,6.27,3.85,0.83,1.63,0.273,0.356,0.413,0.769,1.48,0.311,70.1,4.53,5.66,5.07,5.15,2.38
85,2016,4,6,·Ôµ¥,25,8,1,1,7.84,4.58,0.99,1.71,0.285,0.371,0.416,0.787,1.61,0.339,71.9,4.54,4.81,5.05,4.94,3.27
86,2016,4,7,Hero,24,9,0,0,6.49,2.64,0.84,2.46,0.288,0.340,0.419,0.759,1.42,0.329,72.0,4.02,6.83,4.55,4.52,4.38
87,2016,4,8,»ï¼º,23,11,0,0,6.94,3.58,1.16,1.94,0.289,0.357,0.446,0.804,1.53,0.327,68.1,5.33,3.97,5.26,5.23,2.21
88,2016,4,9,KIA,22,12,1,0,6.96,4.18,0.88,1.67,0.280,0.362,0.397,0.759,1.55,0.326,72.6,4.27,5.50,5.02,5.01,2.66
89,2016,4,10,ÇÑÈ­,23,2,0,0,7.70,5.61,1.26,1.37,0.279,0.386,0.445,0.831,1.69,0.323,65.4,5.70,2.38,5.90,5.89,0.85
90,2016,5,1,µÎ»ê,25,12,0,0,7.62,3.83,0.97,1.99,0.302,0.375,0.463,0.839,1.64,0.358,70.7,5.28,3.86,4.95,4.86,3.28
91,2016,5,2,NC,23,8,0,0,8.52,3.46,1.04,2.46,0.272,0.348,0.409,0.756,1.44,0.330,72.6,4.59,6.01,4.80,4.59,3.94
92,2016,5,3,Hero,25,9,0,0,5.24,3.11,0.82,1.68,0.293,0.357,0.441,0.797,1.48,0.323,70.6,4.58,5.87,5.02,5.19,2.46
93,2016,5,4,KIA,25,12,2,1,5.93,4.26,1.10,1.39,0.292,0.373,0.444,0.817,1.62,0.322,67.4,5.24,4.38,5.57,5.70,2.47
94,2016,5,5,LG,23,6,0,0,5.93,4.39,0.70,1.35,0.289,0.372,0.409,0.781,1.62,0.327,66.4,5.40,4.69,5.08,5.22,2.93
95,2016,5,6,»ï¼º,26,8,0,0,6.52,3.84,1.24,1.70,0.297,0.371,0.458,0.830,1.59,0.331,66.9,5.66,3.19,5.60,5.65,1.86
96,2016,5,7,·Ôµ¥,24,8,1,0,7.43,4.00,1.61,1.86,0.302,0.375,0.486,0.862,1.67,0.338,64.5,6.52,2.12,5.94,5.88,1.27
97,2016,5,8,ÇÑÈ­,25,4,1,0,6.47,5.48,1.20,1.18,0.329,0.421,0.481,0.901,1.93,0.369,61.5,7.42,0.33,6.10,6.24,1.21
98,2016,5,9,SK,24,9,0,0,6.08,3.98,1.24,1.53,0.303,0.380,0.482,0.862,1.64,0.333,66.1,5.48,1.68,5.70,5.81,1.11
99,2016,5,10,KT,24,7,1,1,6.95,4.19,1.26,1.66,0.291,0.371,0.475,0.846,1.62,0.329,62.9,5.90,3.20,5.60,5.60,2.31
100,2016,6,1,NC,23,6,0,0,7.79,4.33,0.74,1.80,0.277,0.363,0.403,0.766,1.55,0.336,70.0,4.72,5.33,4.74,4.65,3.51
101,2016,6,2,µÎ»ê,25,14,1,1,6.79,3.29,1.06,2.06,0.256,0.328,0.405,0.733,1.34,0.289,73.8,3.74,6.97,5.06,5.04,3.44
102,2016,6,3,Hero,25,11,0,0,6.46,3.15,1.13,2.05,0.296,0.353,0.452,0.805,1.52,0.329,62.4,5.77,2.81,5.13,5.13,2.67
103,2016,6,4,ÇÑÈ­,24,5,0,0,6.35,3.91,0.86,1.62,0.279,0.354,0.404,0.758,1.52,0.318,66.6,4.76,5.05,4.99,5.03,2.14
104,2016,6,5,SK,26,12,1,0,7.03,3.39,1.03,2.07,0.274,0.341,0.409,0.750,1.45,0.315,70.0,4.26,5.51,4.92,4.86,3.34
105,2016,6,6,KIA,25,9,1,0,7.06,3.51,0.77,2.01,0.301,0.362,0.422,0.783,1.61,0.351,66.3,5.37,3.98,4.55,4.48,3.45
106,2016,6,7,·Ôµ¥,25,9,0,0,8.10,3.75,0.97,2.16,0.280,0.357,0.450,0.806,1.51,0.337,65.0,5.64,4.16,4.76,4.60,3.79
107,2016,6,8,KT,24,6,0,0,6.28,3.34,1.16,1.88,0.327,0.388,0.489,0.877,1.74,0.365,66.0,6.03,2.99,5.39,5.45,2.21
108,2016,6,9,LG,25,12,0,0,5.68,3.56,1.08,1.60,0.280,0.362,0.422,0.783,1.49,0.305,66.4,5.16,3.23,5.56,5.72,1.60
109,2016,6,10,»ï¼º,26,8,1,0,6.72,3.75,1.62,1.79,0.307,0.381,0.499,0.879,1.67,0.338,67.4,6.18,2.39,6.10,6.13,0.82
110,2016,7,1,Hero,21,4,0,0,6.20,3.40,1.35,1.82,0.309,0.367,0.478,0.845,1.63,0.337,72.6,5.08,3.60,5.55,5.59,1.33
111,2016,7,2,ÇÑÈ­,21,4,0,0,6.67,3.66,0.70,1.82,0.277,0.353,0.391,0.744,1.49,0.321,67.6,4.93,4.15,4.75,4.77,2.53
112,2016,7,3,NC,20,3,0,0,8.13,3.68,1.18,2.21,0.280,0.355,0.434,0.788,1.50,0.333,67.8,5.32,3.41,5.08,4.92,2.19
113,2016,7,4,KIA,23,12,2,0,5.38,4.03,1.09,1.34,0.282,0.359,0.438,0.797,1.54,0.303,70.4,4.64,4.63,5.60,5.78,1.35
