,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
211,2015,강장산,NC,5.61,20,0,0,0,0,-,25 2/3,27,3,15,3,9,17,16,1.64
212,2015,찰리,NC,5.74,12,4,5,0,0,0.444,53 1/3,67,8,19,7,29,39,34,1.61
213,2015,손정욱,NC,6.56,20,1,0,0,0,1.000,23 1/3,37,3,9,0,17,17,17,1.97
214,2015,장현식,NC,9.00,2,0,0,0,0,-,2,3,0,2,0,3,2,2,2.50
215,2015,노성호,NC,10.65,17,1,2,0,0,0.333,23 2/3,33,8,23,0,25,28,28,2.37
216,2015,배재환,NC,18.00,1,0,0,0,0,-,1,1,0,3,0,2,2,2,4.00
217,2015,이승호,NC,36.00,1,0,1,0,0,0.000,1,3,0,1,0,1,4,4,4.00
218,2015,윤강민,NC,45.00,2,0,0,0,0,-,1,2,0,3,1,1,5,5,5.00
219,2015,이대환,NC,54.00,1,0,0,0,0,-,1/3,2,0,0,1,0,2,2,6.00
220,2015,윤석주,SK,0.00,1,0,0,0,0,-,1 1/3,2,0,0,0,0,0,0,1.50
221,2015,윤길현,SK,3.16,70,0,4,13,17,0.000,62 2/3,58,7,36,2,62,25,22,1.50
222,2015,정우람,SK,3.21,69,7,5,16,11,0.583,70,52,3,28,1,90,25,25,1.14
223,2015,김광현,SK,3.72,30,14,6,0,1,0.700,176 2/3,173,19,66,3,160,86,73,1.35
224,2015,이한진,SK,3.86,3,0,0,0,0,-,4 2/3,4,0,5,0,1,3,2,1.93
225,2015,신재웅,SK,4.11,61,0,1,0,9,0.000,50 1/3,72,5,17,4,49,28,23,1.77
226,2015,켈리,SK,4.13,30,11,10,0,0,0.524,181,188,16,54,5,139,87,83,1.34
227,2015,박민호,SK,4.28,20,1,1,0,1,0.500,27 1/3,26,4,9,2,12,18,13,1.28
228,2015,전유수,SK,4.40,66,3,6,1,5,0.333,77 2/3,66,9,42,5,84,39,38,1.39
229,2015,밴와트,SK,4.63,12,5,3,0,0,0.625,56 1/3,70,5,13,2,50,29,29,1.47
230,2015,이재영,SK,4.65,26,1,0,0,1,1.000,31,36,4,13,3,26,18,16,1.58
231,2015,백인식,SK,4.79,7,1,2,0,0,0.333,20 2/3,24,2,11,2,14,13,11,1.69
232,2015,세든,SK,4.99,14,7,5,0,0,0.583,74,77,12,28,5,67,42,41,1.42
233,2015,박종훈,SK,5.19,33,6,8,0,0,0.429,118,123,7,53,17,105,74,68,1.49
234,2015,박정배,SK,5.33,24,2,2,0,2,0.500,25 1/3,25,3,13,2,28,15,15,1.50
235,2015,박희수,SK,5.40,14,0,0,0,2,-,10,13,3,8,1,12,6,6,2.10
236,2015,윤희상,SK,5.88,21,5,9,0,0,0.357,93 1/3,113,15,34,3,67,65,61,1.58
237,2015,서진용,SK,5.91,18,0,0,0,0,-,21 1/3,25,4,6,0,24,14,14,1.45
238,2015,이창욱,SK,6.00,2,0,0,0,0,-,3,2,0,2,0,1,2,2,1.33
239,2015,채병용,SK,6.07,33,4,4,0,1,0.500,83,103,17,27,3,78,56,56,1.57
240,2015,고효준,SK,6.18,30,0,3,0,0,0.000,51,61,8,31,4,43,37,35,1.80
241,2015,문광은,SK,6.85,53,1,5,1,11,0.167,64 1/3,87,13,27,4,54,55,49,1.77
242,2015,김태훈,SK,27.00,1,0,0,0,0,-,1/3,0,0,1,0,0,1,1,3.00
243,2016,김윤환,넥센,0.00,1,0,0,0,0,-,1,0,0,1,0,0,0,0,1.00
244,2016,김정인,넥센,0.00,2,0,0,0,0,-,2,3,0,3,1,1,0,0,3.00
245,2016,유재훈,넥센,0.00,1,0,0,0,0,-,1/3,0,0,2,0,1,0,0,6.00
246,2016,김세현,넥센,2.60,62,2,0,36,0,1.000,62 1/3,66,2,7,0,50,19,18,1.17
247,2016,하영민,넥센,3.14,11,1,1,0,1,0.500,28 2/3,33,2,9,2,15,12,10,1.47
248,2016,황덕균,넥센,3.31,7,1,0,0,0,1.000,16 1/3,13,3,7,1,3,6,6,1.22
249,2016,밴헤켄,넥센,3.38,12,7,3,0,0,0.700,72,55,10,19,5,81,29,27,1.03
250,2016,코엘로,넥센,3.77,12,6,5,0,0,0.545,62,50,6,42,2,46,29,26,1.48
251,2016,신재영,넥센,3.90,30,15,7,0,0,0.682,168 2/3,192,19,21,11,99,76,73,1.26
252,2016,정용준,넥센,4.00,5,0,0,0,0,-,9,8,1,5,0,3,5,4,1.44
253,2016,마정길,넥센,4.10,61,6,1,0,12,0.857,63 2/3,61,10,34,4,52,33,29,1.49
