,연도,선수이름,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1522,2020,강로한,롯데,0.190,16,26,21,6,4,0,0,0,4,1,0,0
1523,2020,정보근,롯데,0.145,47,94,83,5,12,0,0,0,12,3,5,1
1524,2020,추재현,롯데,0.125,13,28,24,3,3,0,0,0,3,0,0,0
1525,2020,구승민,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
1526,2020,김대우,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
1527,2020,김원중,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0
1528,2020,배성근,롯데,0.000,1,3,3,0,0,0,0,0,0,0,0,0
1529,2020,오현택,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
1530,2020,이인복,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
1531,2020,진명호,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
1532,2020,김호재,삼성,0.375,9,10,8,1,3,0,0,0,3,2,0,0
1533,2020,이성곤,삼성,0.346,33,89,81,12,28,4,0,4,44,12,1,2
1534,2020,구자욱,삼성,0.343,44,190,172,28,59,13,0,7,93,30,0,2
1535,2020,김상수,삼성,0.330,64,272,227,44,75,15,1,2,98,23,1,2
1536,2020,박해민,삼성,0.292,56,209,195,35,57,8,2,5,84,23,3,0
1537,2020,이원석,삼성,0.287,57,223,188,25,54,10,0,8,88,50,1,8
1538,2020,살라디노,삼성,0.280,44,163,132,26,37,8,0,6,63,27,0,1
1539,2020,최영진,삼성,0.275,46,92,80,12,22,1,0,1,26,11,0,1
1540,2020,강민호,삼성,0.273,54,163,154,23,42,8,0,9,77,23,0,0
1541,2020,김동엽,삼성,0.258,48,194,182,24,47,9,0,6,74,28,1,1
1542,2020,박승규,삼성,0.255,51,119,110,16,28,6,0,1,37,8,2,0
1543,2020,김성표,삼성,0.250,4,4,4,0,1,0,0,0,1,0,0,0
1544,2020,김재현,삼성,0.250,8,4,4,1,1,0,0,0,1,1,0,0
1545,2020,이학주,삼성,0.247,56,208,178,26,44,10,0,4,66,27,2,5
1546,2020,김지찬,삼성,0.245,59,110,98,21,24,2,1,0,28,8,4,2
1547,2020,박찬도,삼성,0.239,43,105,88,20,21,5,0,1,29,8,1,2
1548,2020,이성규,삼성,0.223,38,119,103,14,23,5,1,7,51,24,2,2
1549,2020,박계범,삼성,0.220,25,44,41,9,9,3,0,1,15,5,0,0
1550,2020,김응민,삼성,0.218,31,60,55,4,12,1,0,0,13,5,1,0
1551,2020,김헌곤,삼성,0.215,35,124,107,6,23,4,0,0,27,14,1,0
1552,2020,김민수,삼성,0.211,14,22,19,3,4,0,0,0,4,1,1,0
1553,2020,송준석,삼성,0.208,12,25,24,3,5,3,0,0,8,4,0,0
1554,2020,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
1555,2020,김도환,삼성,0.000,1,3,2,0,0,0,0,0,0,0,0,0
1556,2020,라이블리,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0
1557,2020,백승민,삼성,0.000,7,12,9,0,0,0,0,0,0,1,0,0
1558,2020,양우현,삼성,0.000,1,3,3,0,0,0,0,0,0,0,0,0
1559,2020,장지훈,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
1560,2020,홍정우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
1561,2020,임지열,키움,1.000,1,1,1,1,1,0,0,0,1,0,0,0
1562,2020,이정후,키움,0.352,69,302,267,45,94,24,4,12,162,53,2,5
1563,2020,이지영,키움,0.319,52,161,144,14,46,6,1,0,54,22,2,1
1564,2020,서건창,키움,0.299,67,290,244,44,73,10,5,5,108,27,0,4
1565,2020,박동원,키움,0.282,59,220,195,30,55,15,0,11,103,39,1,2
1566,2020,임병욱,키움,0.278,11,40,36,3,10,4,0,0,14,6,0,0
1567,2020,김하성,키움,0.274,67,301,252,56,69,12,1,15,128,52,1,3
1568,2020,김혜성,키움,0.269,67,246,216,36,58,10,3,6,92,31,0,3
1569,2020,전병우,키움,0.261,52,179,165,16,43,8,1,3,62,23,0,1
1570,2020,허정협,키움,0.259,42,133,116,14,30,1,0,3,40,11,1,0
1571,2020,김수환,키움,0.250,4,8,8,1,2,1,0,0,3,2,0,0
1572,2020,박주홍,키움,0.250,5,12,12,0,3,1,0,0,4,0,0,0
1573,2020,김주형,키움,0.238,34,48,42,8,10,3,0,1,16,6,1,0
1574,2020,김웅빈,키움,0.231,9,29,26,6,6,1,0,1,10,5,0,1
1575,2020,박병호,키움,0.226,66,278,226,43,51,4,0,17,106,47,0,5
1576,2020,박준태,키움,0.220,66,197,150,25,33,5,0,0,38,7,4,2
1577,2020,김규민,키움,0.213,46,97,89,11,19,2,1,1,26,5,2,1
1578,2020,변상권,키움,0.200,3,5,5,1,1,1,0,0,2,0,0,0
1579,2020,이택근,키움,0.193,20,64,57,5,11,5,0,0,16,7,0,0
1580,2020,주효상,키움,0.179,26,32,28,1,5,1,0,0,6,3,1,0
1581,2020,박정음,키움,0.171,50,38,35,11,6,0,0,0,6,2,0,0
1582,2020,모터,키움,0.114,10,37,35,4,4,0,0,1,7,3,0,1
1583,2020,김병휘,키움,0.000,1,1,1,1,0,0,0,0,0,0,0,0
1584,2020,김성민,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
1585,2020,김재웅,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
1586,2020,송우현,키움,0.000,1,2,2,0,0,0,0,0,0,0,0,0
1587,2020,신재영,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
1588,2020,안우진,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
1589,2020,양현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
1590,2020,윤정현,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
1591,2020,김현민,한화,0.400,4,5,5,2,2,0,0,0,2,0,0,0
1592,2020,정기훈,한화,0.333,2,3,3,0,1,0,0,0,1,0,0,0
1593,2020,최승준,한화,0.333,2,4,3,1,1,0,0,0,1,1,0,0
1594,2020,하주석,한화,0.293,26,96,92,8,27,5,0,0,32,10,0,0
1595,2020,정진호,한화,0.290,56,184,162,20,47,8,0,1,58,10,4,2
1596,2020,조한민,한화,0.286,17,36,35,6,10,4,0,0,14,2,0,0
1597,2020,노수광,한화,0.284,34,105,95,16,27,3,2,1,37,5,1,0
1598,2020,김민하,한화,0.278,15,22,18,3,5,1,0,0,6,2,0,0
1599,2020,이용규,한화,0.272,61,236,202,31,55,3,0,1,61,16,1,0
1600,2020,정은원,한화,0.257,67,259,218,24,56,8,2,3,77,27,1,1
1601,2020,강경학,한화,0.250,23,51,40,6,10,2,0,0,12,1,0,0
1602,2020,최재훈,한화,0.248,59,182,161,13,40,9,0,2,55,12,1,0
1603,2020,노태형,한화,0.244,28,52,45,4,11,3,0,0,14,5,1,0
1604,2020,박정현,한화,0.238,16,22,21,1,5,0,0,0,5,2,0,0
1605,2020,임종찬,한화,0.238,9,22,21,1,5,2,0,0,7,0,0,0
1606,2020,최인호,한화,0.237,12,40,38,1,9,0,0,0,9,4,0,1
1607,2020,김태균,한화,0.237,53,200,169,11,40,10,0,2,56,24,1,1
1608,2020,최진행,한화,0.232,30,111,99,12,23,4,0,6,45,18,0,2
1609,2020,오선진,한화,0.224,33,107,98,7,22,3,0,2,31,12,2,0
1610,2020,반즈,한화,0.222,5,20,18,1,4,3,0,0,7,1,0,0
1611,2020,송광민,한화,0.222,40,132,126,10,28,7,0,3,44,11,1,1
1612,2020,양성우,한화,0.222,5,9,9,1,2,0,0,0,2,0,0,0
1613,2020,김문호,한화,0.217,18,52,46,6,10,1,0,2,17,5,0,0
1614,2020,유장혁,한화,0.214,13,30,28,2,6,1,0,0,7,0,0,0
1615,2020,이성열,한화,0.207,39,143,135,9,28,3,0,2,37,17,0,0
1616,2020,호잉,한화,0.194,34,134,124,12,24,4,0,4,40,14,0,0
1617,2020,노시환,한화,0.186,34,109,102,12,19,6,0,4,37,7,1,0
1618,2020,이해창,한화,0.184,23,55,49,5,9,0,0,2,15,7,0,0
1619,2020,박상언,한화,0.182,15,23,22,2,4,2,0,0,6,1,0,0
1620,2020,김회성,한화,0.167,15,25,18,1,3,1,0,0,4,1,2,1
1621,2020,최정민,KIA,0.500,4,2,2,2,1,0,0,0,1,2,0,0
1622,2020,류지혁,KIA,0.381,25,51,42,13,16,3,0,1,22,5,1,2
1623,2020,김선빈,KIA,0.378,38,157,135,20,51,12,0,0,63,18,0,1
1624,2020,김민식,KIA,0.348,8,25,23,3,8,0,1,0,10,5,0,0
1625,2020,김주찬,KIA,0.333,7,18,18,3,6,0,0,1,9,2,0,0
1626,2020,최형우,KIA,0.322,63,268,227,41,73,12,0,10,115,43,0,2
1627,2020,이창진,KIA,0.317,14,66,60,11,19,3,1,0,24,5,0,0
1628,2020,유민상,KIA,0.312,52,180,154,13,48,8,0,3,65,29,1,1
1629,2020,터커,KIA,0.304,65,287,250,46,76,20,0,16,144,55,0,0
1630,2020,나지완,KIA,0.290,62,256,221,36,64,10,0,9,101,43,0,2
1631,2020,오선우,KIA,0.270,24,39,37,8,10,0,0,2,16,7,0,0
1632,2020,백용환,KIA,0.266,27,76,64,10,17,3,0,4,32,9,1,0
1633,2020,나주환,KIA,0.262,46,155,145,17,38,3,0,6,59,19,4,1
1634,2020,최원준,KIA,0.256,46,98,82,10,21,3,0,0,24,11,3,4
1635,2020,한승택,KIA,0.256,46,150,129,15,33,5,0,6,56,16,6,0
1636,2020,박찬호,KIA,0.250,65,266,244,39,61,9,0,3,79,18,4,2
1637,2020,김호령,KIA,0.242,31,116,99,26,24,4,2,3,41,11,3,1
1638,2020,황윤호,KIA,0.233,20,60,60,3,14,2,0,0,16,4,0,0
1639,2020,황대인,KIA,0.226,24,72,62,8,14,3,0,3,26,9,0,1
1640,2020,최정용,KIA,0.190,27,45,42,4,8,1,0,1,12,4,1,0
1641,2020,김규성,KIA,0.185,38,82,65,7,12,2,0,1,17,5,7,0
1642,2020,문선재,KIA,0.167,15,6,6,1,1,0,0,0,1,0,0,0
1643,2020,장영석,KIA,0.129,11,37,31,1,4,0,0,0,4,2,0,1
1644,2020,이우성,KIA,0.048,22,26,21,3,1,1,0,0,2,1,0,0
1645,2020,김현준,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
1646,2020,이정훈,KIA,0.000,3,4,4,0,0,0,0,0,0,0,0,0
1647,2020,홍종표,KIA,-,2,0,0,1,0,0,0,0,0,0,0,0
1648,2020,로하스,KT,0.393,67,296,267,61,105,24,0,24,201,63,0,1
1649,2020,허도환,KT,0.346,18,28,26,1,9,0,0,0,9,3,0,0
1650,2020,배정대,KT,0.327,67,287,254,40,83,18,3,7,128,33,3,2
1651,2020,조용호,KT,0.317,61,215,183,40,58,7,0,0,65,15,1,1
1652,2020,황재균,KT,0.305,57,255,233,44,71,16,1,7,110,35,2,2
1653,2020,강백호,KT,0.302,52,227,199,40,60,11,1,12,109,38,0,3
1654,2020,박경수,KT,0.285,63,221,186,23,53,8,0,9,88,38,1,4
